gene,score,pvalue,fdr
Nr4a1,0.4716981132075472,0.9221015803726034,1.0
Foxj3,0.4765625,0.9249312244355679,1.0
Foxp1,0.484375,0.929313600063324,1.0
Clstn1,0.5,0.9375,1.0
Itga1,0.5078125,0.9413156472146511,1.0
Idh2,0.5094339622641509,0.9420851529837028,1.0
Calcrl,0.515625,0.9449538588523865,1.0
Maff,0.5234375,0.9484202228486538,1.0
Ptprs,0.53125,0.9517202377319336,1.0
Mcam,0.546875,0.9578427672386169,1.0
Egln2,0.5546875,0.9606758318841457,1.0
Hif1a,0.5625,0.9633636474609375,1.0
Sox5,0.5660377358490566,0.9645343547497295,1.0
Yap1,0.5703125,0.965911265462637,1.0
Ephb4,0.578125,0.9683236479759216,1.0
Sox13,0.5859375,0.9706056676805019,1.0
Gja1,0.59375,0.9727621078491211,1.0
Epha4,0.609375,0.976716935634613,1.0
Pkm,0.6171875,0.9785244427621365,1.0
Dach1,0.625,0.980224609375,1.0
Zfpm1,0.6328125,0.9818217717111111,1.0
Prdm5,0.640625,0.9833201766014099,1.0
Adgre5,0.6415094339622641,0.9834837698741052,1.0
Ahr,0.6484375,0.9847239814698696,1.0
Pbx3,0.65625,0.9860372543334961,1.0
Smad1,0.6640625,0.9872639738023281,1.0
Ppia,0.671875,0.9884080290794373,1.0
Vezf1,0.6796875,0.989473219960928,1.0
Bmpr2,0.6875,0.9904632568359375,1.0
Lpl,0.6953125,0.991381760686636,1.0
Arl15,0.703125,0.9922322630882263,1.0
Gnai2,0.7109375,0.9930182062089443,1.0
Arnt,0.71875,0.9937429428100586,1.0
Nr3c1,0.7265625,0.9944097362458706,1.0
Il2rg,0.734375,0.9950217604637146,1.0
Klf4,0.7547169811320755,0.9963803220614814,1.0
Rora,0.7578125,0.9965596161782742,1.0
Notch1,0.765625,0.9969825148582458,1.0
Gria4,0.7734375,0.9973651729524136,1.0
Egln1,0.796875,0.9982976317405701,1.0
Rac1,0.8046875,0.9985448084771633,1.0
Foxo1,0.8125,0.9987640380859375,1.0
Foxo3,0.828125,0.9991273283958435,1.0
Ogdh,0.828125,0.9991273283958435,1.0
Itgb1,0.8359375,0.9992755018174648,1.0
Sp4,0.8490566037735849,0.9994808934968603,1.0
Ptk2,0.859375,0.9996089339256287,1.0
Dlg1,0.8671875,0.9996888600289822,1.0
Nrp1,0.875,0.999755859375,1.0
Auts2,0.8828125,0.9998114071786404,1.0
Acvr1,0.890625,0.9998568892478943,1.0
Flrt2,0.8984375,0.9998936019837856,1.0
Itgav,0.9056603773584906,0.9999207906336762,1.0
Nr6a1,0.90625,0.9999227523803711,1.0
Ccm2,0.9140625,0.9999454580247402,1.0
Tlnrd1,0.921875,0.9999627470970154,1.0
Taz,0.9245283018867925,0.9999675558435538,1.0
E2f3,0.9296875,0.9999755583703518,1.0
Klf12,0.9375,0.9999847412109375,1.0
Rbpj,0.9453125,0.9999910555779934,1.0
Cxcl12,0.953125,0.9999951720237732,1.0
Nedd4,0.9609375,0.9999976716935635,1.0
Nfia,0.9765625,0.9999996982514858,1.0
Igf2r,0.9921875,0.9999999962747097,0.9999999962747097
