gene,score,pvalue,fdr
Piezo2,0.203125,0.8373995972741533,1.0
Nr4a1,0.2184873949579832,0.8608484983763732,1.0
Prdm5,0.22549019607843138,0.8705162238697061,1.0
Cd47,0.2265625,0.8719434492994274,1.0
Ctbp2,0.226890756302521,0.8723775940797187,1.0
Sox5,0.23529411764705882,0.8830620577192745,1.0
Igf1r,0.2421875,0.8912337596194,1.0
Ptprm,0.24369747899159663,0.8929554934834485,1.0
Plxna4,0.2457627118644068,0.8952717142768958,1.0
Icam2,0.2578125,0.9079319202720164,1.0
Sox13,0.2605042016806723,0.9105694944009267,1.0
Pon3,0.265625,0.9154053161669218,1.0
Piezo1,0.2689075630252101,0.9183834317755138,1.0
Eno1,0.2734375,0.9223424238435576,1.0
Sp4,0.2773109243697479,0.9255933213867092,1.0
Gng12,0.2830188679245283,0.9301668204616926,1.0
Egln2,0.2857142857142857,0.9322396384541287,1.0
Elf1,0.2890625,0.9347393520566851,1.0
Nr5a2,0.29411764705882354,0.9383605723626823,1.0
Egln1,0.31092436974789917,0.9491682422303335,1.0
Prdm1,0.3125,0.9500906837638468,1.0
Klf2,0.3235294117647059,0.9561478034692024,1.0
Myef2,0.3277310924369748,0.9582800091221444,1.0
Mecom,0.3359375,0.9621843431386794,1.0
Ebf1,0.359375,0.9716318469143026,1.0
Pbx1,0.3697478991596639,0.9751048689950393,1.0
Auts2,0.37254901960784315,0.9759763817646494,1.0
Klf10,0.37815126050420167,0.9776396773107545,1.0
Hif1a,0.38235294117647056,0.9788201430986502,1.0
Adgrl1,0.3828125,0.9789458858547508,1.0
Pbx3,0.39215686274509803,0.9813648822238659,1.0
Id1,0.40625,0.984553539396984,1.0
Id3,0.4117647058823529,0.9856646391670315,1.0
Casp8,0.4140625,0.9861065420826614,1.0
Ppia,0.42016806722689076,0.9872233489190222,1.0
Taz,0.4215686274509804,0.9874681635307082,1.0
Bsg,0.42857142857142855,0.9886316977810683,1.0
Ptk2,0.4369747899159664,0.9899022937992483,1.0
Adgrl2,0.4375,0.9899774042423815,1.0
Tfdp2,0.4453125,0.9910383695172245,1.0
Ptprs,0.44537815126050423,0.9910468513910595,1.0
Smad1,0.4576271186440678,0.9925116914059811,1.0
Slc6a6,0.46875,0.9936555855665574,1.0
Calcrl,0.4745762711864407,0.994191319924147,1.0
Foxj3,0.4765625,0.9943646789352569,1.0
Foxp1,0.484375,0.9950034328639923,1.0
Npas3,0.4957983193277311,0.9958232900978148,1.0
Clstn1,0.5,0.99609375,1.0
Flrt2,0.5,0.99609375,1.0
Ogdh,0.5042016806722689,0.9963487598196007,1.0
Itga1,0.5078125,0.9965561467381647,1.0
Bmpr2,0.5126050420168067,0.9968154486411418,1.0
Foxo3,0.5169491525423728,0.9970355591655885,1.0
Ephb4,0.5210084033613446,0.997229085315323,1.0
Maff,0.5234375,0.9973395265890175,1.0
Rel,0.5462184873949579,0.9982020633414269,1.0
Mcam,0.546875,0.9982227677259026,1.0
Nrp1,0.5784313725490197,0.9990024233606526,1.0
Rac1,0.5882352941176471,0.9991735949753474,1.0
Gja1,0.59375,0.9992580972311771,1.0
Igf2r,0.6050420168067226,0.9994078834877499,1.0
Hdac7,0.6078431372549019,0.9994406565503369,1.0
Epha4,0.609375,0.9994578989137572,1.0
Pkm,0.6171875,0.9995388004413233,1.0
Junb,0.6218487394957983,0.9995818573964197,1.0
Dach1,0.625,0.9996089339256287,1.0
Zfpm1,0.6328125,0.999669552016277,1.0
Gria4,0.6372549019607843,0.9997002132607076,1.0
Klf4,0.6386554621848739,0.9997093489116669,1.0
Rora,0.6470588235294118,0.9997592209857917,1.0
Arl15,0.6666666666666666,0.9998475842097241,1.0
Nfatc1,0.6722689075630253,0.999866911305472,1.0
Acvr1,0.6779661016949152,0.9998843321363192,1.0
Vezf1,0.6796875,0.999889186902009,1.0
Vav3,0.6862745098039216,0.9999061577412681,1.0
Lpl,0.6953125,0.9999257259511376,1.0
Klf12,0.6974789915966386,0.9999298473122094,1.0
Foxo1,0.7058823529411765,0.9999440024967462,1.0
Arnt,0.71875,0.9999608492353218,1.0
Nr3c1,0.7265625,0.9999687489511593,1.0
Il2rg,0.734375,0.9999752171311194,1.0
Notch1,0.765625,0.9999908947834193,1.0
Arid1b,0.7966101694915254,0.9999970715765545,1.0
E2f7,0.8067226890756303,0.9999980526366284,1.0
Nr6a1,0.8235294117647058,0.9999990594569758,1.0
Itgb1,0.8359375,0.9999994751023835,1.0
Fgfr2,0.8739495798319328,0.9999999362684646,1.0
Ccm2,0.9140625,0.999999997025173,1.0
Plxnd1,0.9243697478991597,0.9999999989295549,1.0
Rbpj,0.9453125,0.9999999999199973,1.0
Cxcl12,0.953125,0.9999999999766906,1.0
Nedd4,0.9609375,0.999999999994579,1.0
Nfia,0.9765625,0.999999999999909,0.9999999999999091
